"","baseMean","log2FoldChange","lfcSE","pvalue","padj","status"
"OVGP1",480.918184207978,2.01768347725718,0.197839928162269,2.01222387724641e-24,4.66992770360822e-24,"OK"
"WDR77",3334.05899893329,-1.7479290431767,0.0564050280564414,7.60979211572257e-211,7.26471117147544e-210,"OK"
"ATP5F1",10159.7000818902,-0.398570566263442,0.0412386526906741,4.2472169764608e-22,9.46213402978281e-22,"OK"
"C1orf162",413.756520445287,1.80991962172214,0.134049546036058,1.52455486771304e-41,4.59047764460524e-41,"OK"
"ADORA3",472.583715827005,6.78498925847548,0.354917850510731,1.82052747583029e-81,8.08733444644808e-81,"OK"
"LOC100129269",34.2122553490291,-0.621168265338835,0.464833876750807,0.181443676547983,0.200278699321872,"OK"
"RAP1A",2448.33311519395,0.299964215500218,0.11191737778651,0.00735717822631508,0.00903521154123685,"OK"
"FAM212B",1872.30420765575,2.18958342645721,0.0794280284916718,2.77703426282666e-167,2.15402216181752e-166,"OK"
"LOC100506343",88.5901131935163,2.45474938286803,0.345716560221587,1.2433509682451e-12,2.24725019181645e-12,"OK"
"DDX20",1407.94726445444,-1.28984449466894,0.101258293812956,3.62844969392431e-37,1.02833115167797e-36,"OK"
"KCND3",912.979022436202,7.30391440221854,0.316243524644183,5.0961487206437e-118,2.94309636658847e-117,"OK"
"LOC643355",246.819700062064,5.30057456993409,0.322947081156828,1.54037640374421e-60,5.72983861606549e-60,"OK"
"CTTNBP2NL",1469.57817505199,0.398882789893405,0.0929382211111485,1.77140095555304e-05,2.48651844959265e-05,"OK"
"MIR4256",0,NaN,NaN,NaN,NaN,"Low"
"WNT2B",173.226934315981,2.32710957565441,0.214792547242833,2.36977932991896e-27,5.79050995016823e-27,"OK"
"ST7L",793.027358167396,0.110103129086389,0.112501196121016,0.327736102940815,0.351631256809784,"OK"
"CAPZA1",7418.00394972879,-1.31326959527705,0.086955273327411,1.55160010639293e-51,5.2430021112253e-51,"OK"
