"","mRNA-UHRR-C2","mRNA-UHRR-C1","mRNA-Brain-C6","mRNA-Brain-C4"
"KPNA6",8442,8222,7336,7552
"TXLNA",9570,9091,4072,4073
"CCDC28B",610,615,583,681
"IQCC",731,738,348,338
"DCDC2B",0,0,3,4
"TMEM234",379,315,331,311
"EIF3I",18019,16820,6429,6749
"MTMR9LP",347,310,260,395
"FAM167B",122,119,29,61
"LCK",4838,4356,9,28
"HDAC1",12211,11466,1257,1260
"MARCKSL1",12752,11628,23321,23346
"FAM229A",155,112,165,247
"TSSK3",3,24,0,3
"BSDC1",5084,4999,8716,8913
"ZBTB8B",62,56,82,60
"ZBTB8A",701,722,553,454
"ZBTB8OS",1252,1180,690,886
"RBBP4",19869,20965,10525,9691
"SYNC",1853,1969,298,301
"KIAA1522",7165,6562,2647,2840
"YARS",17179,16716,10303,10186
"S100PBP",3991,3621,1994,1827
"FNDC5",132,167,4468,4763
"HPCA",18,27,10210,10366
"TMEM54",1234,1008,975,1136
"RNF19B",1727,1732,2342,2522
"AK2",17306,16934,4145,4232
"ADC",238,181,2024,1882
"TRIM62",952,840,1629,1722
"ZNF362",1865,1571,2830,2917
"PHC2",7446,7117,9259,9682
"MIR3605",7,0,4,0
"ZSCAN20",356,259,212,231
"CSMD2",248,249,1615,1707
"HMGB4",0,0,0,0
"LOC402779",0,0,0,0
"C1orf94",43,46,26,46
"GJB5",21,24,81,63
"GJB4",1,0,3,6
"GJB3",118,115,97,100
"GJA4",6,1,413,475
"SMIM12",2489,2365,2515,2687
"DLGAP3",49,81,4720,4786
"LOC653160",143,104,196,178
"ZMYM6NB",677,603,291,285
"ZMYM6",1450,1460,1415,1388
"ZMYM1",834,902,311,192
"SFPQ",23474,22929,9168,9196
"ZMYM4",6145,5981,5047,4630
"KIAA0319L",7177,6875,6997,7513
"NCDN",3672,3364,58212,62373
"TFAP2E",135,117,1166,1168
"PSMB2",11762,11209,5586,5675
"C1orf216",1912,1746,8879,9093
"CLSPN",3898,3708,110,137
"AGO4",2010,2110,2474,2287
"AGO1",3769,3811,2879,2987
"AGO3",849,903,325,277
"TEKT2",24,32,62,53
"ADPRHL2",2122,1892,1534,1661
"COL8A2",274,273,978,1004
"TRAPPC3",3780,3511,3101,3105
"MAP7D1",8124,7320,20997,21904
"THRAP3",13761,13324,8286,7782
"SH3D21",1363,1278,607,597
"EVA1B",402,344,191,169
"STK40",5106,4840,2995,3167
"LSM10",1772,1704,1588,1483
"OSCP1",202,160,943,962
"MRPS15",5208,5371,1984,2038
"CSF3R",631,584,543,503
"GRIK3",334,256,3112,3076
"MIR4255",0,0,0,0
"LOC728431",184,238,106,100
"ZC3H12A",1558,1456,134,156
"MEAF6",3560,3460,5910,5309
"MIR5581",3,3,0,0
"SNIP1",1742,1674,1200,1095
"DNALI1",68,86,1011,831
"GNL2",7690,7755,1769,1597
"RSPO1",9,6,27,15
"C1orf109",2045,1839,1144,1134
"CDCA8",5596,5477,75,92
"EPHA10",168,162,1196,1366
"MANEAL",2989,2749,1986,1932
"YRDC",2286,2300,876,858
"C1orf122",2403,1952,3743,4084
"MTF1",1434,1327,1508,1448
"INPP5B",2282,2147,2391,2125
"SF3A3",11716,11836,3637,3917
"FHL3",1478,1533,502,476
"UTP11L",3564,3645,1348,1454
"POU3F1",383,328,302,382
"MIR3659",0,0,0,0
"LOC339442",0,0,0,0
"RRAGC",1991,2123,2260,2128
"GJA9-MYCBP",0,0,0,0
"MYCBP",10,7,0,0
"GJA9",0,0,0,0
"RHBDL2",99,84,249,257
"AKIRIN1",6126,6115,4537,4401
"NDUFS5",8700,8559,9108,8887
"MACF1",15447,15902,32237,33160
"KIAA0754",1054,1052,170,197
"BMP8A",102,128,746,592
"PPIEL",218,194,642,729
"PABPC4",20027,19039,4037,3905
"SNORA55",31,22,7,1
"HEYL",68,51,588,580
"NT5C1A",4,0,113,129
"HPCAL4",49,37,23144,22335
"PPIE",3384,3192,2667,2667
"BMP8B",295,323,331,316
"OXCT2",22,35,48,66
"TRIT1",2600,2571,1088,969
"MYCL1",457,435,110,180
"MFSD2A",571,509,1446,1369
"CAP1",19322,19561,11883,11699
"PPT1",12840,13248,13363,12800
"RLF",3400,3547,2784,2491
"TMCO2",0,0,5,2
"ZMPSTE24",2780,3054,1931,1673
"COL9A2",1384,1223,5378,5477
"SMAP2",4939,4823,10559,10408
"ZFP69B",377,389,223,196
"ZFP69",244,272,270,196
"EXO5",514,562,269,341
"ZNF684",254,264,239,198
"RIMS3",1000,1122,30178,31010
"LOC100130557",372,355,372,367
"NFYC",3245,2868,3570,3655
"MIR30E",0,0,0,0
"MIR30C1",0,0,0,0
"KCNQ4",241,229,746,880
"CITED4",737,606,702,758
"CTPS1",8729,8575,1801,1810
"SLFNL1-AS1",183,189,14,8
"SLFNL1",4,13,58,66
"SCMH1",3337,3067,2246,2219
"EDN2",35,18,0,6
"HIVEP3",957,936,2296,2137
"GUCA2B",1,0,0,0
"GUCA2A",2,2,0,0
"FOXJ3",5115,5163,5920,5301
"RIMKLA",539,527,4677,4508
"ZMYND12",30,26,239,208
"PPCS",1914,1916,1377,1354
"CCDC30",42,65,327,307
"PPIH",3065,2786,845,845
"YBX1",61195,59521,8854,8412
"CLDN19",61,51,1,10
"LEPRE1",6435,5823,1027,1145
"C1orf50",555,488,655,601
"LOC100129924",26,16,16,5
"CCDC23",822,724,1048,1199
"ERMAP",1105,947,591,557
"ZNF691",796,780,442,481
"SLC2A1",15220,14074,9312,9943
"SLC2A1-AS1",135,99,82,74
"FAM183A",33,28,16,10
"EBNA1BP2",7011,6728,3526,3522
"WDR65",32,49,97,110
"TMEM125",128,119,1271,1229
"C1orf210",102,125,1,4
"TIE1",431,418,1194,1315
"MPL",17,21,69,97
"CDC20",9775,8930,108,91
"ELOVL1",4756,4231,5264,6029
"MED8",3091,3340,1998,2079
"SZT2",4641,4142,4965,5160
"HYI",1133,1016,1312,1309
"PTPRF",18714,16989,9507,10088
"KDM4A",4809,4774,3260,3172
"KDM4A-AS1",141,122,20,23
"ST3GAL3",1129,977,2942,3033
"ARTN",107,83,106,100
"IPO13",3248,3148,8827,9346
"DPH2",3718,3744,1400,1393
"ATP6V0B",7296,6473,8805,9299
"B4GALT2",5170,4853,3704,3768
"CCDC24",396,354,745,810
"SLC6A9",2150,2023,2351,2621
"KLF17",79,74,8,5
"DMAP1",2078,1991,2627,2832
"ERI3",4049,3560,6262,6387
"RNF220",5685,5007,11277,11591
"MIR5584",0,0,0,0
"TMEM53",379,347,459,500
"C1orf228",978,952,231,224
"KIF2C",9031,8651,75,89
"RPS8",95778,89906,22367,22734
"SNORD55",22,11,29,33
"SNORD46",31,20,9,12
"SNORD38A",53,57,10,19
"SNORD38B",33,28,8,20
"BEST4",43,37,187,192
"PLK3",1317,1051,628,652
"TCTEX1D4",1,2,4,3
"BTBD19",220,204,62,45
"PTCH2",186,162,908,862
"EIF2B3",2783,2685,1630,1842
"HECTD3",3559,3263,3277,3448
"UROD",5385,5090,3662,4176
"ZSWIM5",1071,1133,1163,1290
"LOC400752",76,92,109,112
"HPDL",730,696,177,177
"MUTYH",1840,1739,1148,1139
"TOE1",1888,1756,526,647
"TESK2",703,692,940,1097
"CCDC163P",429,382,455,433
"MMACHC",920,1029,618,593
"PRDX1",31884,30306,16377,16979
"AKR1A1",6606,6019,3062,3045
"NASP",21274,20857,4478,4558
"CCDC17",124,172,65,69
"GPBP1L1",7256,7687,5150,4670
"RPS15AP10",16,14,8,11
"TMEM69",2250,2394,946,1033
"IPP",599,693,482,432
"MAST2",6862,6518,4939,4833
"PIK3R3",3174,3094,7984,7877
"TSPAN1",205,183,258,206
"POMGNT1",5468,5001,6480,7210
"LURAP1",77,77,672,672
"RAD54L",3660,3093,113,141
"LRRC41",6726,6364,4731,4808
"UQCRH",13557,12597,9840,8795
"NSUN4",2384,2490,1318,1331
"FAAH",672,522,3162,3233
"LOC729041",42,54,86,72
"DMBX1",354,319,4,2
"MKNK1-AS1",1,0,5,12
"KNCN",1,2,87,84
"MKNK1",1704,1640,2125,2192
"MOB3C",688,758,1424,1384
"ATPAF1",3148,3278,5597,5560
"TEX38",0,0,6,2
"EFCAB14-AS1",0,0,0,0
"EFCAB14",6505,6717,9566,9367
"CYP4B1",68,43,53,52
"CYP4Z2P",1,1,0,2
"CYP4A11",0,0,27,10
"CYP4X1",48,84,1388,1386
"CYP4Z1",3,6,35,33
"CYP4A22",0,0,5,4
"LINC00853",22,44,13,18
"PDZK1IP1",11,17,1,1
"TAL1",1134,989,273,274
"STIL",3596,3656,170,192
"CMPK1",5517,5860,5709,4802
"FOXE3",8,0,7,5
"FOXD2-AS1",644,528,32,28
"FOXD2",85,94,19,39
"TRABD2B",149,164,294,299
"SKINTL",1,3,5,16
"SLC5A9",417,425,18,17
"SPATA6",410,412,698,674
"AGBL4",14,16,685,647
"BEND5",157,169,766,920
"ELAVL4",1,1,3848,3784
"DMRTA2",219,149,28,37
"FAF1",5425,5337,3133,3188
"CDKN2C",2801,2499,611,603
"C1orf185",0,0,0,0
"RNF11",3227,3189,14562,12497
"TTC39A",836,852,366,383
"EPS15",4130,4395,13228,12140
"OSBPL9",8245,8360,3227,3149
"NRD1",16871,16584,9808,9674
"MIR761",0,0,0,0
"RAB3B",2520,2652,2297,2379
"TXNDC12",6691,6378,2876,2938
"KTI12",0,0,0,0
"BTF3L4",3850,3748,3488,3146
"ZFYVE9",1778,1869,7296,7639
"CC2D1B",3557,3401,2399,2646
"ORC1",3868,3544,47,47
"PRPF38A",5525,5423,2507,2414
"ZCCHC11",5346,5562,2865,2793
"GPX7",783,720,169,171
"FAM159A",72,38,12,33
"SELRC1",1882,1922,791,745
"ZYG11B",1943,2038,7290,6395
"ZYG11A",675,583,1,0
"ECHDC2",426,405,1745,1934
"SCP2",4171,4542,5023,4752
"PODN",145,123,382,358
"SLC1A7",50,38,128,121
"CPT2",2446,2215,823,876
"C1orf123",2116,2098,2386,2457
"MAGOH",2294,2304,831,821
"LOC100507564",43,89,45,40
"LRP8",5793,5472,4407,4213
"SLC25A3P1",0,0,0,0
"DMRTB1",4,5,0,0
"GLIS1",264,202,251,246
"TMEM48",5728,5651,931,786
"YIPF1",1473,1344,1585,1682
"DIO1",79,97,4,5
"HSPB11",1626,1549,719,710
"LRRC42",2991,2650,792,821
"LDLRAD1",127,80,0,0
"TMEM59",9301,9127,10812,10310
